Description,Origin School,Destination School,Course #,Title,Enrollments
2020 Fall,GSD,FAS,AFRAMER  197 01,"Poverty, Race, and Health",1
2020 Fall,GSD,FAS,AFVS  108 1,Stranger than Fiction,1
2020 Fall,GSD,FAS,AFVS  112 1,Drawing 2: Model Witness,3
2020 Fall,GSD,FAS,AFVS  133,"Sun & Shadow, Sculpture Studio",1
2020 Fall,GSD,FAS,AFVS  141BR 1,Making Mischief: A Studio Based Seminar,1
2020 Fall,GSD,FAS,AFVS  144M 1,Photography and Ecology,1
2020 Fall,GSD,FAS,AFVS  184E,"Under Surveillance: Media, Security, and the Loss of Privacy",2
2020 Fall,GSD,FAS,AFVS  231,Studio Language,1
2020 Fall,GSD,FAS,AFVS  241,New Media Theory,3
2020 Fall,GSD,FAS,AFVS  271,Proseminar in Film and Visual Studies: Theory,1
2020 Fall,GSD,FAS,ANTHRO 1270,"Sick: 10,000 Years of Health and Disease",1
2020 Fall,GSD,FAS,ANTHRO 2690,"Middle East Ethnography: Discourse, Politics, and Culture",1
2020 Fall,GSD,FAS,ANTHRO 2859,"Colonial Encounters, Postcolonial Disorders",2
2020 Fall,GSD,FAS,APCOMP  207,Systems Development for Computational Science,1
2020 Fall,GSD,FAS,APCOMP  209A,Data Science 1: Introduction to Data Science,1
2020 Fall,GSD,FAS,ARABICAA,Elementary Arabic I,1
2020 Fall,GSD,FAS,CHNSEBA 006,Elementary Modern Chinese,1
2020 Fall,GSD,FAS,CHNSLIT  285 01,The Literary Life of Things in China,1
2020 Fall,GSD,FAS,COMPLIT  188,Futurisms (a comparative history),1
2020 Fall,GSD,FAS,COMPSCI   50,Introduction to Computer Science,16
2020 Fall,GSD,FAS,COMPSCI   61,Systems Programming and Machine Organization,2
2020 Fall,GSD,FAS,COMPSCI   96,System Design Projects: Machine Learning for Social Impact,1
2020 Fall,GSD,FAS,COMPSCI  109A,Data Science 1: Introduction to Data Science,7
2020 Fall,GSD,FAS,COMPSCI  109A 002,Data Science 1: Introduction to Data Science,9
2020 Fall,GSD,FAS,COMPSCI  171,Visualization,9
2020 Fall,GSD,FAS,COMPSCI  171 002,Visualization,2
2020 Fall,GSD,FAS,COMPSCI  182,Planning and Learning Methods in AI,1
2020 Fall,GSD,FAS,COMPSCI  279R,Research Topics in Human-Computer Interaction,6
2020 Fall,GSD,FAS,ECON   10A,Principles of Economics (Microeconomics),3
2020 Fall,GSD,FAS,ECON 1057,Game Theory with Applications to Social Behavior,1
2020 Fall,GSD,FAS,ECON 1420,American Economic Policy,1
2020 Fall,GSD,FAS,EMR  137,Asian American Mobility and Transpacific Movements,1
2020 Fall,GSD,FAS,EMR  140,Contemporary Immigration Policy and Educational Practice,1
2020 Fall,GSD,FAS,ENG-SCI  143,Computer Vision,4
2020 Fall,GSD,FAS,ENG-SCI  192,Materials Selection and Design,2
2020 Fall,GSD,FAS,ENG-SCI  298AR,Innovating in Health Care,2
2020 Fall,GSD,FAS,ENG-SCI  298DR,Methodologies in Design Engineering,9
2020 Fall,GSD,FAS,ENGLISH   90SM,"Speculative Modes: Fiction, Technology, Justice",1
